state,year,county_status,county_coverage_pct,county_source,district_status,district_source,notes
ARIZONA,1994,full,1,az_1994,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,1996,full,1,az_1996,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,1998,full,1,az_1998,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2000,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2002,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2004,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2006,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2008,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2010,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2012,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2014,full,1,az,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2016,full,1,MEDSL precinct,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2018,full,1,MEDSL precinct,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2020,full,1,MEDSL precinct,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2022,full,1,MEDSL precinct,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,2024,full,1,MEDSL precinct,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARKANSAS,1990,full,1,ar_1990,none,,
ARKANSAS,1992,full,1,ar_1992,good,America Votes,
ARKANSAS,1994,full,1,ar_1994,good,America Votes,
ARKANSAS,1996,full,1,ar_1996,good,America Votes,
ARKANSAS,1998,partial,0.667,ar_1998,good,America Votes,
ARKANSAS,2000,partial,0.787,ar_2000,good,America Votes,
ARKANSAS,2002,full,0.987,ar; ar_2002,good,America Votes,
ARKANSAS,2004,none,0,,good,America Votes,
ARKANSAS,2006,full,1,ar_2006,good,America Votes,
ARKANSAS,2008,partial,0.653,ar,good,America Votes,
ARKANSAS,2010,full,1,ar,good,America Votes,
ARKANSAS,2012,partial,0.96,ar,unreliable,"America Votes (unreliable, excluded)",
ARKANSAS,2014,full,0.987,ar,unreliable,"America Votes (unreliable, excluded)",
ARKANSAS,2016,full,1,MEDSL precinct,none,,
ARKANSAS,2018,full,1,MEDSL precinct,none,,
ARKANSAS,2020,full,1,MEDSL precinct,none,,
ARKANSAS,2022,full,0.987,MEDSL precinct,none,,
ARKANSAS,2024,full,1,MEDSL precinct,none,,
CALIFORNIA,1990,full,1,ca_1990,none,,
CALIFORNIA,1992,full,1,ca_1992; ca_1992_OLD,good,America Votes,
CALIFORNIA,1994,full,1,ca_1994,good,America Votes,
CALIFORNIA,1996,full,1,ca_1996; ca_1996_OLD,good,America Votes,
CALIFORNIA,1998,full,1,ca_historical,good,America Votes,
CALIFORNIA,2000,full,1,ca_historical,good,America Votes,
CALIFORNIA,2002,full,1,ca,good,America Votes,
CALIFORNIA,2004,full,1,ca,good,America Votes,
CALIFORNIA,2006,full,1,ca,good,America Votes,
CALIFORNIA,2008,full,1,ca,good,America Votes,
CALIFORNIA,2010,full,1,ca,good,America Votes,
CALIFORNIA,2012,full,1,ca,unreliable,"America Votes (unreliable, excluded)",
CALIFORNIA,2014,full,1,ca,unreliable,"America Votes (unreliable, excluded)",
CALIFORNIA,2016,full,1,MEDSL precinct,none,,
CALIFORNIA,2018,full,1,MEDSL precinct,none,,
CALIFORNIA,2020,full,1,MEDSL precinct,good,America Votes,
CALIFORNIA,2022,full,1,MEDSL precinct,none,,
CALIFORNIA,2024,full,1,MEDSL precinct,none,,
COLORADO,1990,full,0.984,co_1990,none,,
COLORADO,1992,full,0.984,co_1992,good,America Votes,
COLORADO,1994,full,0.984,co_1994,good,America Votes,
COLORADO,1996,full,0.984,co_1996,good,America Votes,
COLORADO,1998,full,0.984,co_1998,good,America Votes,
COLORADO,2000,full,0.984,co_2000,good,America Votes,
COLORADO,2002,full,1,co,good,America Votes,
COLORADO,2004,full,1,co,good,America Votes,
COLORADO,2006,full,1,co,good,America Votes,
COLORADO,2008,full,1,co,good,America Votes,
COLORADO,2010,full,1,co,good,America Votes,
COLORADO,2012,full,1,co,unreliable,"America Votes (unreliable, excluded)",
COLORADO,2014,full,1,co,unreliable,"America Votes (unreliable, excluded)",
COLORADO,2016,full,1,MEDSL precinct,none,,
COLORADO,2018,full,1,MEDSL precinct,none,,
COLORADO,2020,full,1,MEDSL precinct,none,,
COLORADO,2022,full,1,MEDSL precinct,none,,
COLORADO,2024,full,1,MEDSL precinct,none,,
CONNECTICUT,1990,full,1,ctelh_1990,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,1992,full,1,ctelh_1992,good,America Votes,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,1994,full,1,ctelh_1994,good,America Votes,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,1996,full,1,ctelh_1996,good,America Votes,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,1998,partial,0.625,ctelh_1998,good,America Votes,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2000,full,1,ctelh_2000,good,America Votes,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2002,full,1,ctelh_2002,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2004,full,1,ctelh_2004,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2006,full,1,ctelh_2006,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2008,full,1,ctelh_2008,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2010,full,1,ctelh_2010,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2012,full,1,ctelh_2012,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2014,full,1,ctelh_2014,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2016,full,1,MEDSL precinct,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2018,full,1,MEDSL precinct,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2020,full,1,MEDSL precinct,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2022,full,1,MEDSL precinct,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
CONNECTICUT,2024,full,1,MEDSL precinct,none,,"DONE 1990-2014 (every even year) from the Secretary of the State's Election History database (electionhistory.ct.gov, an Elstats platform; scripted with curl like Colorado) -- see 01er_connecticut_download.R / 01es_house_county_connecticut_elstats.R / 01et_connecticut_elstats_apply.R. Town results summed to the 8 counties (the earlier OpenElections build 01x is superseded); literal ballot-line party classification (no fusion consolidation), as MEDSL does. 1998: only 5 of 8 counties (CD1 was uncontested and is not in the database, so Hartford, Middlesex and Tolland towns lack House rows). Two party labels corrected against FEC results (1998 CD3 Cole, 2002 CD2 Courtney). 2016-2024 are MEDSL."
DELAWARE,1990,none,0,,good,America Votes,
DELAWARE,1992,none,0,,good,America Votes,
DELAWARE,1994,none,0,,good,America Votes,
DELAWARE,1996,none,0,,good,America Votes,
DELAWARE,1998,none,0,,good,America Votes,
DELAWARE,2000,full,1,de,good,America Votes,
DELAWARE,2002,full,1,de,good,America Votes,
DELAWARE,2004,full,1,de,good,America Votes,
DELAWARE,2006,full,1,de,good,America Votes,
DELAWARE,2008,full,1,de,good,America Votes,
DELAWARE,2010,full,1,de,good,America Votes,
DELAWARE,2012,none,0,,none,,
DELAWARE,2014,full,1,de,none,,
DELAWARE,2016,full,1,MEDSL precinct,none,,
DELAWARE,2018,full,1,MEDSL precinct,none,,
DELAWARE,2020,full,1,MEDSL precinct,none,,
DELAWARE,2022,full,1,MEDSL precinct,none,,
DELAWARE,2024,full,1,MEDSL precinct,none,,
FLORIDA,1990,none,0,,none,,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,1992,full,1,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,1994,partial,0.91,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,1996,partial,0.97,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,1998,partial,0.672,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2000,full,1,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2002,full,0.985,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2004,partial,0.97,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2006,partial,0.821,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2008,full,1,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2010,full,1,fl,good,America Votes,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2012,full,1,fl,unreliable,"America Votes (unreliable, excluded)","Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2014,full,0.985,fl,unreliable,"America Votes (unreliable, excluded)","Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2016,full,1,fl; MEDSL precinct,none,,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2018,full,1,MEDSL precinct,none,,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2020,full,0.985,MEDSL precinct,none,,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2022,full,1,MEDSL precinct,none,,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
FLORIDA,2024,full,1,MEDSL precinct,none,,"Legacy ASP/frames site (results.elections.myflorida.com), not bot-blocked, just needs someone to navigate ElectionRaces.asp/TitlePage.asp for a given year/county."
GEORGIA,1990,full,1,ga_archive_1990,none,,"sos.ga.gov is Cloudflare-blocked for scripted access, but manually downloading a given year's results through a real browser works fine -- 2012 done this way (dropped in R/data/county_house_files/georgia_2012.csv, already county-level with a 'Total Votes' pseudo-row per county-district). Same manual approach should work for GA's other missing years."
